Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),FDC ID
"Chicken or turkey creole, without rice",103.0,13.8,2.99,4.22,2706784
Chicken or turkey salad with nuts and/or fruits,235.0,12.51,6.11,17.91,2706800
"Chicken or turkey salad, made with mayonnaise",235.0,13.92,2.88,18.76,2706799
"Chicken tenders, breaded, frozen, prepared",240.0,14.6,14.9,13.6,173346
"Chicken, breast, boneless, skinless, raw",,22.5,0.0,1.93,2646170
"Chicken, broiler, rotisserie, BBQ, skin",378.0,15.2,0.7,35.2,171524
"Chicken, broilers or fryers, giblets, raw",124.0,17.9,1.8,4.47,171057
"Chicken, canned, meat only, with broth",165.0,21.8,0.0,7.95,171099
"Chicken, capons, giblets, cooked, simmered",164.0,26.4,0.76,5.4,174466
"Chicken, capons, meat and skin, raw",234.0,18.8,0.0,17.1,173645
"Chicken, gizzard, all classes, raw",94.0,17.7,0.0,2.06,171456
"Chicken, heart, all classes, raw",153.0,15.6,0.71,9.33,171458
"Chicken, liver, all classes, raw",119.0,16.9,0.73,4.83,171060
"Chicken, roasting, giblets, cooked, simmered",165.0,26.8,0.86,5.22,172397
"Chicken, roasting, meat only, raw",111.0,20.3,0.0,2.7,173636
"Chicken, skin (drumsticks and thighs), raw",1840.0,9.58,0.79,44.2,172855
"Chicken, stewing, giblets, cooked, simmered",194.0,25.7,0.11,9.3,173642
"Chicken, stewing, meat and skin, raw",258.0,17.6,0.0,20.3,172400
"Chicken, stewing, meat only, raw",619.0,21.3,0.0,6.32,172402
"Chicken, thigh, boneless, skinless, raw",,18.6,0.0,7.92,2646171
"Chicken, thighs, frozen, breaded, reheated",1400.0,18.7,14.2,22.4,168961
Cornmeal dressing with chicken or turkey and vegetables,237.0,7.6,19.27,14.45,2708746
"Egg rolls, chicken, refrigerated, heated",197.0,10.4,28.5,4.51,172104
"Livers, chicken, chopped, with eggs and onion",226.0,12.89,2.87,17.69,2706875
Macaroni or noodles with cheese and chicken or turkey,178.0,12.53,14.82,7.61,2708823
"McDONALD'S, Southern Style Chicken Biscuit",304.0,11.9,30.6,14.9,170776
"Restaurant, Chinese, chicken chow mein",357.0,6.76,8.29,2.8,168083
"Restaurant, Chinese, general tso's chicken",295.0,12.9,24.0,16.4,167675
"Restaurant, Chinese, kung pao chicken",541.0,9.76,6.87,6.98,167676
"Restaurant, Chinese, sweet and sour chicken",1040.0,10.1,23.9,12.6,168081
"Restaurant, family style, chicken tenders",302.0,18.9,19.3,16.6,169847
"RICE-A-RONI, chicken flavor, unprepared",356.0,10.6,76.1,1.04,173347
"Sausage, Polish, beef with chicken, hot",1080.0,17.6,3.6,19.4,172953
"Soup, chicken broth cubes, dry",828.0,14.6,23.5,4.7,171563
"Soup, chicken broth or bouillon, dry",1120.0,16.7,18.0,13.9,171562
"Soup, chicken broth, canned, condensed",130.0,4.42,0.75,1.04,171542
"Soup, chicken broth, ready-to-serve",6.0,0.64,0.44,0.21,174536
